skillID,desc,pdesc,h,ph,hch
0000109,"수영 속도를 증가시키며, 수영 시 HP저하를 막을 수 있다.",,"영구적으로 수영 속도를 증가, 수영 상태일 때 HP 감소 없음",,
0000111,"장비, 소비, 설치, 기타 인벤토리를 확장한다.",,"영구적으로 장비, 소비, 설치, 기타 인벤토리 #x칸 확장",,
0000112,"장비, 소비, 설치, 기타 인벤토리를 확장한다.",,"영구적으로 장비, 소비, 설치, 기타 인벤토리 #x칸 확장",,
0000012,"다른 캐릭터를 레벨 10이상 육성하면 스킬포인트 1이 증가한다. 단, 정령의 축복과 여제의 축복중 좋은 효과로 발동된다.",,"공격력 #x, 마력 #y 증가",,
0000073,"다른 시그너스 캐릭터와 미하일 캐릭터를 레벨 5이상 육성하면 스킬포인트 1이 증가한다. 단, 정령의 축복과 여제의 축복중 높은 효과로 발동된다.\r\n다른 시그너스, 미하일 캐릭터의 고귀한 정신에 의해 마스터 레벨이 최대 30까지 확장될 수 있다. ",,"공격력 #x, 마력 #y 증가",,
0000074,자신의 레벨 보다 높은 아이템을 장착할 수 있다.,,#x 레벨 높은 아이템 장착가능,,
0001075,소환된 미하일이 소울의 힘을 땅으로 스며들게 하여 다수의 적을 4번 연속 공격한다. 특정 레벨이 오를때 마다 스킬 레벨 1을 올릴 수 있다.,소울의 힘을 땅으로 스며들게 하여 다수의 적을 4번 연속 공격한다.,"MP #mpCon 소비, 최대 #mobCount명의 적을 #damage% 데미지로 4번 공격","MP #mpCon 소비, 최대 #mobCount명의 적을 #damage% 데미지로 4번 공격\n재사용 대기시간 #cooltime초",
0001076,소환된 오즈가 일정 시간 동안 자신의 주변에 불의 장막을 친다. 장막 내에 있는 몬스터는 일정 확률로 발화 상태가 되어 도트 데미지를 입는다. 특정 레벨이 오를때 마다 스킬 레벨 1을 올릴 수 있다.,일정 시간 동안 자신의 주변에 불의 장막을 친다. 장막 내에 있는 몬스터는 일정 확률로 발화 상태가 되어 도트 데미지를 입는다.,"MP #mpCon 소비, #time초 동안 #damage% 데미지의 불의 장막 생성, 발화 시 #dotTime초 동안 #dotInterval초 당 #dot%의 도트 데미지","MP #mpCon 소비, #time초 동안 #damage% 데미지의 불의 장막 생성, 발화 시 #dotTime초 동안 #dotInterval초 당 #dot%의 도트 데미지\n재사용 대기시간 #cooltime초","MP #mpCon 소비, #time초 동안 #damage% 데미지의 불의 장막 생성, 발화 시 #dotTime초 동안 #dotInterval초 당 #dot%의 도트 데미지\n재사용 대기시간 #hcCooltime초"
0001077,소환된 이리나가 폭풍의 기운을 화살에 담아 전방을 향해 발사한다. 특정 레벨이 오를때 마다 스킬 레벨 1을 올릴 수 있다.,,"MP #mpCon 소비, #damage% 데미지로 최대 #mobCount명의 적까지 관통",,
0001078,이카르트가 뱀파이어를 소환하여 다수의 적을 4번 공격하고 데미지의 일부를 흡수하여 HP를 회복한다. 특정 레벨이 오를때 마다 스킬 레벨 1을 올릴 수 있다.,"다수의 적을 4번 공격하고 데미지의 일부를 흡수하여 HP를 회복한다. 한 번에 캐릭터의 최대 HP 1/ 2 이상, 몬스터의 최대 HP 이상은 흡수할 수 없다.","MP #mpCon 소비, 최대 #mobCount명의 적에게 #damage% 데미지로 #attackCount번 공격, 최대 HP의 #x%를 회복","MP #mpCon 소비, 최대 #mobCount명의 적에게 #damage% 데미지로 #attackCount번 공격, 데미지의 #x%를 HP로 흡수",
0001079,소환된 호크아이가 상어의 기운을 전방으로 내뿜어 다수의 적에게 데미지를 준다. 특정 레벨이 오를때 마다 스킬 레벨 1을 올릴 수 있다.,상어의 기운을 전방으로 내뿜어 다수의 적에게 데미지를 준다.,"MP #mpCon 소비, #damage% 데미지로 최대 #mobCount명의 적을 공격","MP #mpCon 소비, #damage% 데미지로 최대 #mobCount명의 적을 공격",
0000080,자신의 레벨 보다 높은 아이템을 장착할 수 있다.,,#x 레벨 높은 아이템 장착가능,,
0001085,[마스터 레벨 : 1]\n엔젤릭 블레스에 봉인된 아크 엔젤을 소환한다.,,,,
0000086,[마스터 레벨 : 1]\n아크 엔젤의 축복을 받았다.,,,,
0001087,[마스터 레벨 : 1]\n다크 엔젤릭 블레스에 봉인된 아크 엔젤을 소환한다.,,,,
0000088,[마스터 레벨 : 1]\n다크 엔젤의 축복을 받았다.,,,,
0001090,[마스터 레벨 : 1]\n엔젤릭 블레스에 봉인된 아크 엔젤을 소환한다.,,,,
0000091,[마스터 레벨 : 1]\n아크 엔젤의 축복을 받았다.,,,,
0001092,,,,,
