skillID,commonName,commonValue
0001075,maxLevel,5
0001075,mpCon,15+10*d(x/4)
0001075,damage,136+6*x
0001075,mobCount,6
0001075,attackCount,4
0001075,cooltime,5
0001076,maxLevel,5
0001076,mpCon,30+6*x
0001076,damage,44+12*x
0001076,time,2+2*u(x/2)
0001076,dot,65+8*x
0001076,dotInterval,1
0001076,dotTime,5+u(x/2)
0001076,mobCount,6
0001076,cooltime,30
0001077,maxLevel,5
0001077,mpCon,12+3*x
0001077,damage,445+20*x
0001077,mobCount,3
0001078,maxLevel,5
0001078,mpCon,14+2*x
0001078,damage,50+7*x
0001078,mobCount,6
0001078,x,10+6*x
0001078,attackCount,4
0001078,cooltime,10
0001079,maxLevel,5
0001079,mpCon,10+5*x
0001079,damage,241+20*x
0001079,mobCount,3
0001079,range,400
0000093,maxLevel,1
0000093,x,20
0000093,y,20
0000093,z,20
0000097,mpCon,0
0000097,damage,600
0000097,mobCount,10
0000097,maxLevel,1
0001098,mpCon,0
0001098,maxLevel,1
0001098,cooltime,5
0000099,damage,1200
0000099,mobCount,10
0000099,maxLevel,1
0000099,iceGageCon,20
0000099,prop,100
0000099,time,3
0000100,maxLevel,1
0000100,damage,500
0000100,attackCount,4
0000100,mobCount,10
0000100,iceGageCon,40
0000100,prop,100
0000100,dot,200
0000100,dotInterval,1
0000100,dotTime,5
0000103,maxLevel,1
0000103,mpCon,0
0000103,damage,900
0000103,iceGageCon,5
0000103,mobCount,10
0000103,prop,20
0000103,time,1
0000104,maxLevel,1
0000104,mobCount,10
0000104,mpCon,0
0000104,time,10
0000104,prop,50
0000104,x,2003
0000104,iceGageCon,60
0001105,maxLevel,1
0001105,morph,2002
0001105,mpCon,0
0001105,time,350
0000190,maxLevel,1
0000190,madX,5
0000190,padX,5
0000190,strX,5
0000190,dexX,5
0000190,intX,5
0000190,lukX,5
0001196,maxLevel,10
0001196,mpCon,10+x
0001196,time,10+7*x
0001196,damage,30+6*x
0001196,x,1
0001197,maxLevel,10
0001197,mpCon,10+x
0001197,time,10+7*x
0001197,damage,30+6*x
0001197,x,1
0001198,maxLevel,10
0001198,mpCon,10+x
0001198,time,10+7*x
0001198,x,1
0001198,damage,30+6*x
0001199,mpCon,10+x
0001199,damage,30+6*x
0001199,time,10+7*x
0001199,x,1
0001199,maxLevel,10
0001200,maxLevel,10
0001200,mpCon,10+x
0001200,time,10+7*x
0001200,x,1
0001200,damage,30+6*x
1001005,mpCon,3+d(x/6)
1001005,damage,175+8*x
1001005,mobCount,6
1001005,attackCount,1
1001005,maxLevel,20
1000007,maxLevel,1
1000007,x,400
1000007,PVPdamage,1
1101011,mpCon,10+d(x/3)
1101011,damage,160+3*x
1101011,mobCount,6
1101011,attackCount,2
1101011,maxLevel,20
1101013,x,5
1101013,prop,40
1101013,maxLevel,1
1101006,mpCon,4+8*u(x/10)
1101006,indiePad,10+x
1101006,time,60+6*x
1101006,x,10+x
1101006,y,100+20*x
1101006,maxLevel,20
1111012,maxLevel,10
1111012,mpCon,8+3*u(x/3)
1111012,damage,245+6*x
1111012,attackCount,1
1111012,mobCount,7+d(x/2)
1111003,maxLevel,20
1111003,mpCon,10+d(x/2)
1111003,damage,850+15*x
1111003,prop,30+3*x
1111003,x,10+u(x/2)
1111003,y,2
1111003,time,40+2*x
1111003,mobCount,6
1111003,attackCount,1
1111003,subTime,30-x
1111003,z,-10-x
1110013,prop,40+2*x
1110013,subProp,10+x
1110013,damR,u(x/4)
1110013,maxLevel,20
1110013,x,5
1110011,asrR,10+x
1110011,terR,10+x
1110011,maxLevel,20
1121008,mpCon,20+2*u(x/3)
1121008,damage,148+4*x
1121008,attackCount,5
1121008,mobCount,8
1121008,maxLevel,30
1121008,damR,10
1120017,mpCon,20+2*u(x/3)
1120017,damage,185+5*x
1120017,attackCount,5
1120017,mobCount,1
1120017,maxLevel,30
1121016,mpCon,35-2*x
1121016,prop,20+8*x
1121016,time,6+4*u(x/3)
1121016,cooltime,60
1121016,mobCount,10
1121016,maxLevel,10
1120003,damR,u(x/6)
1120003,x,5+d(x/6)
1120003,v,5+d(x/6)
1120003,prop,20+2*x
1120003,mastery,55+d(x/2)
1120003,maxLevel,30
1121052,maxLevel,1
1121052,mpCon,200
1121052,damage,500
1121052,attackCount,8
1121052,mobCount,8
1121052,cooltime,30
1201015,mpCon,10+x
1201015,damage,100+2*x
1201015,dot,55+x
1201015,attackCount,3
1201015,mobCount,4
1201015,prop,30+3*x
1201015,time,2+u(x/5)
1201015,dotInterval,1
1201015,dotTime,2+u(x/5)
1201015,z,120+x
1201015,maxLevel,20
1211010,mpCon,20+4*u(x/2)
1211010,x,20+3*x
1211010,y,5
1211010,z,20
1211010,time,25-x
1211010,maxLevel,10
1211012,mpCon,17+3*u(x/3)
1211012,damage,245+6*x
1211012,attackCount,1
1211012,mobCount,7+d(x/2)
1211012,maxLevel,10
1211013,mpCon,12+3*u(x/5)
1211013,time,40+2*x
1211013,x,-10-1*x
1211013,y,-10-1*x
1211013,mobCount,6
1211013,z,10+x
1211013,subTime,3+u(x/4)
1211013,prop,15+3*x
1211013,maxLevel,20
1210001,x,100+15*x
1210001,y,x
1210001,prop,4*x
1210001,subProp,6*x
1210001,time,1+u(x/4)
1210001,asrR,10+3*x
1210001,terR,10+3*x
1210001,maxLevel,10
1210015,x,950-5*x
1210015,t,10+x
1210015,y,10+x
1210015,maxLevel,20
1210016,prop,5*x
1210016,epad,2*x
1210016,x,x
1210016,y,5+2*x
1210016,time,90
1210016,cooltime,30
1210016,maxLevel,10
1221009,mpCon,14+u(x/3)
1221009,damage,198+4*x
1221009,attackCount,7
1221009,mobCount,1
1221009,time,15+x
1221009,prop,0
1221009,x,1
1221009,damR,10+x
1221009,cr,10+x
1221009,ignoreMobpdpR,15+u(x/2)
1221009,maxLevel,30
1221014,mpCon,35-2*x
1221014,prop,20+8*x
1221014,time,6+4*u(x/3)
1221014,cooltime,60
1221014,mobCount,10
1221014,maxLevel,10
1221014,hcTime,1+2*u(x/5)
1221014,hcProp,6*x
1221011,mpCon,30+x
1221011,damage,900+14*x
1221011,mobCount,15
1221011,cooltime,180-5*x
1221011,attackCount,4
1221011,damageToBoss,900+14*x
1221011,maxLevel,30
1220010,prop,u(x/2)
1220010,targetPlus,u(x/5)
1220010,attackCount,u(x/9)
1220010,time,x
1220010,maxLevel,10
1220010,x,5
1220010,y,12
1220010,z,5
1220010,w,2
1220010,u,2
1221052,maxLevel,1
1221052,mpCon,400
1221052,damage,500
1221052,mobCount,15
1221052,attackCount,3
1221052,time,20
1221052,cooltime,120
2000007,maxLevel,1
2000007,x,20
2000007,prop,10
2000007,time,5
2101004,maxLevel,20
2101004,mpCon,12+3*d(x/4)
2101004,damage,141+8*x
2101004,mobCount,6
2101004,range,420
2101004,attackCount,2
2101005,maxLevel,10
2101005,mpCon,15+3*d(x/4)
